año,descripción,precio,cilindros,link
2012,Mazda,MAZDA5,169000,4,https://soloautos.mx/usado/autos/2012-Mazda-MAZDA5-Sport-TA/SA-AD-89084619
2013,Volkswagen,Polo,195000,4,https://soloautos.mx/usado/autos/2013-Volkswagen-Polo-GTI-DSG/SA-AD-89081417
2016,FIAT,Uno,145000,4,https://soloautos.mx/usado/autos/2016-FIAT-Uno-Sporting/SA-AD-89103141
2013,Ford,Fiesta,138000,4,https://soloautos.mx/usado/autos/2013-Ford-Fiesta-S-AT/SA-AD-89080621
2017,Ford,Figo,147000,4,https://soloautos.mx/usado/autos/2017-Ford-Figo-IMPULSE-TM-A-A-5-PTAS/SA-AD-89089168
2017,Volkswagen,Vento,168500,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Vento-Comfortline-Std-/SA-AD-89103926
2012,Chevrolet,Sonic,110000,4,https://soloautos.mx/usado/autos/2012-Chevrolet-Sonic-MT-A/SA-AD-89103400
2012,Dodge,Journey,168000,4,https://soloautos.mx/usado/autos/2012-Dodge-Journey-SE/SA-AD-89092825
2015,Suzuki,S-CROSS,199800,4,https://soloautos.mx/usado/autos/2015-Suzuki-S-CROSS-1-6L-GL-MT/SA-AD-89104311
2016,Toyota,Avanza,199000,4,https://soloautos.mx/usado/autos/2016-Toyota-Avanza-1-5-Premium-AT/SA-AD-89082800
2012,Volkswagen,Clasico,135000,4,https://soloautos.mx/usado/autos/2012-Volkswagen-Clasico-2-0-GL-Team-TM/SA-AD-89082592
2018,Chevrolet,Beat,149900,4,https://soloautos.mx/usado/autos/2018-Chevrolet-Beat-LT-B-TM/SA-AD-89094161
2014,Ford,Focus,169500,4,https://soloautos.mx/usado/autos/2014-Ford-Focus-SE-AT/SA-AD-88924244
2016,Volkswagen,Jetta,197500,5,https://soloautos.mx/usado/autos/2016-Volkswagen-Jetta-Trendline-Tiptronic/SA-AD-89093042
2017,Volkswagen,Vento,197000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Vento-Allstar-Tiptronic/SA-AD-89095066
2017,Volkswagen,Vento,164900,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Vento-Comfortline-Std-/SA-AD-89089692
2013,Chevrolet,Aveo,115000,4,https://soloautos.mx/usado/autos/2013-Chevrolet-Aveo-B-LT-Manual,-radio,-Bluetooth/SA-AD-89095794
2012,Chevrolet,Captiva,189000,6,https://soloautos.mx/usado/autos/2012-Chevrolet-Captiva-Sport-LT-Paq--C/SA-AD-89073738
2012,Chevrolet,Spark,92000,4,https://soloautos.mx/usado/autos/2012-Chevrolet-Spark-5-ptas-A/SA-AD-89080658
2013,Dodge,i10,88000,4,https://soloautos.mx/usado/autos/2013-Dodge-i10-GLS-Safty---Fun-TM-1-1L/SA-AD-89099870
2016,Nissan,Tiida,159000,4,https://soloautos.mx/usado/autos/2016-Nissan-Tiida-Sedan-Sense-TM-AC-1-8/SA-AD-89096627
2014,Nissan,Tiida,125500,4,https://soloautos.mx/usado/autos/2014-Nissan-Tiida-Sedan-Sense-TM-AC-1-8/SA-AD-89076705
2014,Renault,Stepway,125000,4,https://soloautos.mx/usado/autos/2014-Renault-Stepway-Dynamique-MT/SA-AD-89101392
2017,Ford,Figo,174000,4,https://soloautos.mx/usado/autos/2017-Ford-Figo-ENERGY-TM-4-PTAS/SA-AD-89074878
2017,Mitsubishi,Mirage,155000,3,https://soloautos.mx/usado/autos/2017-Mitsubishi-Mirage-GLX-CVT/SA-AD-89079347
2016,Toyota,Yaris,176500,4,https://soloautos.mx/usado/autos/2016-Toyota-Yaris-Sedan-Premium-MT/SA-AD-89086864
2017,Chevrolet,Spark,145000,4,https://soloautos.mx/usado/autos/2017-Chevrolet-Spark-LT-B-TM/SA-AD-89079882
2017,Dodge,Attitude,153500,3,https://soloautos.mx/usado/autos/2017-Dodge-Attitude-SE-TM/SA-AD-88940557
2014,Chevrolet,Aveo,130000,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Aveo-D-LTZ-Manual,-bolsas-de-aire,-ABS/SA-AD-89102593
2014,Chevrolet,Spark,105000,4,https://soloautos.mx/usado/autos/2014-Chevrolet-Spark-LT-B-TM/SA-AD-89082992
2014,Ford,Focus,169500,4,https://soloautos.mx/usado/autos/2014-Ford-Focus-TREND-AT/SA-AD-88961761
2017,Honda,FIT,199500,4,https://soloautos.mx/usado/autos/2017-Honda-FIT-Cool/SA-AD-89064704
2016,Nissan,Sentra,189500,4,https://soloautos.mx/usado/autos/2016-Nissan-Sentra-Sense-CVT/SA-AD-89044851
2013,Mazda,Mazda3,159500,4,https://soloautos.mx/usado/autos/2013-Mazda-Mazda3-Sedan-i-Touring-TA/SA-AD-89095803
2013,Mitsubishi,ASX,185000,4,https://soloautos.mx/usado/autos/2013-Mitsubishi-ASX-SE-CVT/SA-AD-89099806
2017,Hyundai,Grand,159000,4,https://soloautos.mx/usado/autos/2017-Hyundai-Grand-i10-GL-Mid-Manual-SD/SA-AD-89083609
2012,Jeep,Patriot,182000,4,https://soloautos.mx/usado/autos/2012-Jeep-Patriot-Limited-FWD-CVT/SA-AD-89001494
2017,Volkswagen,Vento,195000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Vento-Highline-Tiptronic/SA-AD-89097275
2014,Ford,Fiesta,134500,4,https://soloautos.mx/usado/autos/2014-Ford-Fiesta-S-MT-5-ptas/SA-AD-89063703
2017,Nissan,Versa,184900,4,https://soloautos.mx/usado/autos/2017-Nissan-Versa-Sense-AT-AC/SA-AD-89044876
2012,Renault,Sandero,95000,4,https://soloautos.mx/usado/autos/2012-Renault-Sandero-Dynamique-MT/SA-AD-89069015
2016,Volkswagen,Jetta,195000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Jetta-2-0-Std-/SA-AD-89068812
2015,Ford,Fiesta,159000,4,https://soloautos.mx/usado/autos/2015-Ford-Fiesta-SE-AT-5-ptas/SA-AD-89081024
2012,Peugeot,Partner,145000,4,https://soloautos.mx/usado/autos/2012-Peugeot-Partner-1-6-HDI-Maxi-MT/SA-AD-89091707
2014,Renault,Duster,169500,4,https://soloautos.mx/usado/autos/2014-Renault-Duster-2-0-Dynamique-MT/SA-AD-89092830
2012,Renault,Scala,86500,4,https://soloautos.mx/usado/autos/2012-Renault-Scala-Dynamique-MT/SA-AD-88921715
2012,Toyota,Camry,189000,4,https://soloautos.mx/usado/autos/2012-Toyota-Camry-XLE-L4-6AT/SA-AD-89071611
